Name,Variable,Units,Timestamp,Flagged as Suspect Reading,Value
PER_AIRMON_MESH1976150,NO,ugm -3,2018-12-14 13:02:00,False,29.29125
PER_AIRMON_MESH1976150,NO2,ugm -3,2018-12-14 13:02:00,False,52.93704
PER_AIRMON_MESH1976150,PM1,ugm -3,2018-12-14 00:41:00,False,2.7039999999999997
PER_AIRMON_MESH1976150,O3,ppb,2018-12-14 13:02:00,False,8.026
PER_AIRMON_MESH1976150,PM10,ugm -3,2018-12-14 00:41:00,False,8.383
PER_AIRMON_MESH1976150,Particle Count,Kgm -3,2018-12-14 13:02:00,False,2.14
PER_AIRMON_MESH1976150,NO,ugm -3,2018-12-13 03:20:00,True,-3.96125
PER_AIRMON_MESH1976150,PM1,ugm -3,2018-12-14 13:02:00,False,9.823
PER_AIRMON_MESH1976150,PM2.5,ugm -3,2018-12-14 00:41:00,False,4.446000000000001
PER_AIRMON_MESH1976150,PM10,ugm -3,2018-12-14 13:02:00,False,19.764
PER_AIRMON_MESH1976150,PM 4,ugm -3,2018-12-14 00:41:00,False,1.97
PER_AIRMON_MESH1976150,PM2.5,ugm -3,2018-12-14 13:02:00,False,12.255
PER_AIRMON_MESH1976150,PM 4,ugm -3,2018-12-14 13:02:00,False,4.52
PER_AIRMON_MESH1976150,NO,ugm -3,2018-12-14 00:42:00,True,-3.62875
PER_AIRMON_MESH1976150,NO,ugm -3,2018-12-14 13:03:00,False,22.92625
PER_AIRMON_MESH1976150,NO2,ugm -3,2018-12-14 00:42:00,False,18.30368
PER_AIRMON_MESH1976150,NO2,ugm -3,2018-12-14 13:03:00,False,47.475640000000006
PER_AIRMON_MESH1976150,NO2,ugm -3,2018-12-13 03:20:00,False,13.472079999999998
PER_AIRMON_MESH1976150,O3,ppb,2018-12-14 00:42:00,False,22.203000000000003
PER_AIRMON_MESH1976150,O3,ppb,2018-12-14 13:03:00,False,6.605
PER_AIRMON_MESH1976150,Particle Count,Kgm -3,2018-12-14 13:03:00,False,1.63
PER_AIRMON_MESH1976150,Particle Count,Kgm -3,2018-12-14 00:42:00,False,1.06
PER_AIRMON_MESH1976150,PM1,ugm -3,2018-12-14 13:03:00,False,9.77
PER_AIRMON_MESH1976150,PM10,ugm -3,2018-12-14 13:03:00,False,17.055999999999997
PER_AIRMON_MESH1976150,PM1,ugm -3,2018-12-14 00:42:00,False,2.332
PER_AIRMON_MESH1976150,PM2.5,ugm -3,2018-12-14 13:03:00,False,11.288
PER_AIRMON_MESH1976150,PM10,ugm -3,2018-12-14 00:42:00,False,7.388
PER_AIRMON_MESH1976150,PM 4,ugm -3,2018-12-14 13:03:00,False,4.21
PER_AIRMON_MESH1976150,O3,ppb,2018-12-13 03:20:00,False,23.013
PER_AIRMON_MESH1976150,NO,ugm -3,2018-12-14 13:04:00,False,5.38375
PER_AIRMON_MESH1976150,PM2.5,ugm -3,2018-12-14 00:42:00,False,3.513
